billboard_ranking,song,artist,year,popular_or_not,track_id,spotify_popularity,album,album_id,audio_link
16,Rock And A Hard Place,Bailey Zimmerman,2023,1,1TE8AAk9koG0UJco6ZAUfx,81,Religiously. The Album.,19DGbjQW4oJmS1TLmr7OH3,https://p.scdn.co/mp3-preview/00044664941fe246993a2db5a7b76f95170b58ab?cid=6a78982078cb477d900388b0470ad9ad
17,Under The Influence,Chris Brown,2023,1,5IgjP7X4th6nMNDh4akUHb,85,Indigo (Extended),3okhA6w5uau6ZNhnVpwVww,https://p.scdn.co/mp3-preview/52295df71df20e33e1510e3983975cd59f6664a4?cid=6a78982078cb477d900388b0470ad9ad
18,Cruel Summer,Taylor Swift,2023,1,1BxfuPKGuaTgP7aM0Bbdwr,97,Lover,1NAmidJlEaVgA3MpcPFYGq,
19,Thinkin' Bout Me,Morgan Wallen,2023,1,0PAcdVzhPO4gq1Iym9ESnK,87,One Thing At A Time,6i7mF7whyRJuLJ4ogbH2wh,
20,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,2023,1,6AQbmUe0Qwf5PZnt4HmTXv,79,Boy's a liar Pt. 2,6cVfHBcp3AdpYY0bBglkLN,https://p.scdn.co/mp3-preview/543d8d09a5530a1ab94dd0c6f83fc4ee3e0d7f96?cid=6a78982078cb477d900388b0470ad9ad
21,Favorite Song,Toosii,2023,1,1SRw5p2lVAi7RGlHEmZg66,71,Favorite Song,4XiUZULpVS6gTgKKU7KTX5,
22,Thought You Should Know,Morgan Wallen,2023,1,5W4kiM2cUYBJXKRudNyxjW,79,One Thing At A Time,6i7mF7whyRJuLJ4ogbH2wh,
23,Thank God,Kane Brown With Katelyn Brown,2023,1,1brnLTvarI9D1hLP6z2Ar8,74,Different Man,7dfTBn7wtgKEchVmyipBl1,https://p.scdn.co/mp3-preview/852b3a14655f3b1dbd94226b16f87edfc6c82340?cid=6a78982078cb477d900388b0470ad9ad
24,Sure Thing,Miguel,2023,1,0JXXNGljqupsJaZsgSbMZV,86,All I Want Is You,493HYe7N5pleudEZRyhE7R,https://p.scdn.co/mp3-preview/d337faa4bb71c8ac9a13998be64fbb0d7d8b8463?cid=6a78982078cb477d900388b0470ad9ad
25,All My Life,Lil Durk Featuring J. Cole,2023,1,6HgWWaMu31KdOpEG5l28BG,76,Almost Healed,6ciIG1XKTlVIn0Yl8rvsce,https://p.scdn.co/mp3-preview/736c0ff37c1b6b7ca182ea6e78db36163e5e6eae?cid=6a78982078cb477d900388b0470ad9ad
26,Ella Baila Sola,Eslabon Armado X Peso Pluma,2023,1,3qQbCzHBycnDpGskqOWY0E,80,DESVELADO,5aDEezKnOqyQo0qvTFhpkM,https://p.scdn.co/mp3-preview/5d39f3e17f1e20e2711d033001e48b8d4249b992?cid=cfe923b2d660439caf2b557b21f31221
27,Karma,Taylor Swift Featuring Ice Spice,2023,1,7KokYm8cMIXCsGVmUvKtqf,70,Midnights (The Til Dawn Edition),1fnJ7k0bllNfL1kVdNVW1A,
28,Just Wanna Rock,Lil Uzi Vert,2023,1,4Ls53fBNVfaXTROBi6X8Hw,77,Pink Tape,2ua5bFkZLZl1lIgKWtYZIz,https://p.scdn.co/mp3-preview/72dce26448e87be36c3776ded36b75a9fd01359e?cid=6a78982078cb477d900388b0470ad9ad
29,Cuff It,Beyonce,2023,1,3IHaiorYWOcr8Kzs85PWF7,81,RENAISSANCE,6FJxoadUE4JNVwWHghBwnb,https://p.scdn.co/mp3-preview/1799de9ff42644af9773b6353358e54615696f19?cid=cfe923b2d660439caf2b557b21f31221
30,Vampire,Olivia Rodrigo,2023,1,6gPOwGszseqYL7w02opoy1,91,GUTS,1xJHno7SmdVtZAtXbdbDZp,
31,Fukumean,Gunna,2023,1,4rXLjWdF2ZZpXCVTfWcshS,87,a Gift & a Curse,5qmZefgh78fN3jsyPPlvuw,https://p.scdn.co/mp3-preview/f237ab921af697ba9b49e12fa167c2ce1a82d6b4?cid=6a78982078cb477d900388b0470ad9ad
32,Lavender Haze,Taylor Swift,2023,1,5jQI2r1RdgtuT8S3iG8zFC,81,Midnights,151w1FgRZfnKZA9FEcg9Z3,NULL
33,Players,Coi Leray,2023,1,6UN73IYd0hZxLi8wFPMQij,75,Players,4cAAsw7mPkGt15GXQzWlrM,
34,Need A Favor,Jelly Roll,2023,1,07on0OB2cdPt79IFsgdRUy,80,Whitsitt Chapel,2v1Lb9hidHkvvlIXYzSmeZ,https://p.scdn.co/mp3-preview/cddc53b034f5e8a7accf9f518c16b7c767dbf9f0?cid=6a78982078cb477d900388b0470ad9ad
35,Dance The Night,Dua Lipa,2023,1,1vYXt7VSjH9JIM5oRRo7vA,88,Barbie The Album,0BaIaHcyBXuOWeM4Aas4EW,https://p.scdn.co/mp3-preview/acaea048f50a3b30ca24b348c84a6047373baabb?cid=cfe923b2d660439caf2b557b21f31221
36,Love You Anyway,Luke Combs,2023,1,2kYevr8cbIAH2ha8210Bnz,74,Gettin' Old,5Uly85dJHHDfHQCsyUQ8gw,https://p.scdn.co/mp3-preview/1c9a6aa927e8fe8cdde43e167d8245a528f85bd4?cid=6a78982078cb477d900388b0470ad9ad
37,One Thing At A Time,Morgan Wallen,2023,1,1LYGpC6P9t7VARZxap9Kcx,76,One Thing At A Time,6i7mF7whyRJuLJ4ogbH2wh,
38,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",2023,1,0vjeOZ3Ft5jvAi9SBFJm1j,86,HEROES & VILLAINS,7txGsnDSqVMoRl6RQ9XyZP,
39,Bad Habit,Steve Lacy,2023,1,1R7TwnwF1RuYNf5vXlpQUT,80,Gemini Rights,3Ks0eeH0GWpY4AU20D5HPD,https://p.scdn.co/mp3-preview/efe7c2fdd8fa727a108a1270b114ebedabfd766c?cid=6a78982078cb477d900388b0470ad9ad
40,La Bebe,Yng Lvcas x Peso Pluma,2023,1,2UW7JaomAMuX9pZrjVpHAU,87,La Bebe (Remix),6aBVGuOUEuX18rHxyDWbti,https://p.scdn.co/mp3-preview/57c5d5266219b32d455ed22417155bbabde7170f?cid=6a78982078cb477d900388b0470ad9ad
41,Golden Hour,JVKE,2023,1,5odlY52u43F5BjByhxg7wg,81,this is what ____ feels like (Vol. 1-4),69AaAkdktFGnk9POmHENkT,https://p.scdn.co/mp3-preview/bcc17f30841d6fbf3cd7954c3e3cf669f11b6a21?cid=6a78982078cb477d900388b0470ad9ad
42,Religiously,Bailey Zimmerman,2023,1,0rCFRyEy4WXjRXNpO80Dzs,81,Religiously. The Album.,19DGbjQW4oJmS1TLmr7OH3,https://p.scdn.co/mp3-preview/debc354616b7a8740a151f4f7fed551654eed742?cid=6a78982078cb477d900388b0470ad9ad
43,Spin Bout U,Drake & 21 Savage,2023,1,1xQ6trAsedVPCdbtDAmk0c,80,Her Loss,5MS3MvWHJ3lOZPLiMxzOU6,
44,Cupid,Fifty Fifty,2023,1,3yphjkz7V5xFXdfBEXVKL6,78,The Beginning,4lmebGP87hUt2h4nwsfd73,https://p.scdn.co/mp3-preview/3a7021f5109c12e4ddfd4ed25ad68cab367400a9?cid=6a78982078cb477d900388b0470ad9ad
45,Search & Rescue,Drake,2023,1,7INo35yvWnVY5PcEUlg1d4,78,Search & Rescue,67WUCOjyl44d8fAFzHONjW,
46,Barbie World,Nicki Minaj & Ice Spice With Aqua,2023,1,741UUVE2kuITl0c6zuqqbO,80,Barbie The Album,0BaIaHcyBXuOWeM4Aas4EW,https://p.scdn.co/mp3-preview/f654928ccaa4e6a9fb09a6eb3f208383eccc12a9?cid=6a78982078cb477d900388b0470ad9ad
47,Next Thing You Know,Jordan Davis,2023,1,2lNTHWu2I5Tcz9ukWsV5Jj,71,Next Thing You Know,7Joe4M8FRFyVxmKUSndVqp,
48,Escapism,RAYE Featuring 070 Shake,2023,1,1NOgYyLQJpQ9Ntyn5GnRjr,83,My 21st Century Blues,3U8n8LzBx2o9gYXvvNq4uH,https://p.scdn.co/mp3-preview/8a8fcaf9ddf050562048d1632ddc880c9ce7c972?cid=6a78982078cb477d900388b0470ad9ad
49,Un x100to,Grupo Frontera X Bad Bunny,2023,1,33tgowN4C11kXh9jUUy98Q,4,Spanish Hits 2023 - Party Tyme (Spanish Vocal Versions),0MZri5JqxanazJX2SEbyP8,
50,Until I Found You,Stephen Sanchez,2023,1,5hlPrSCx9BvnQ3rCTkblMZ,80,Easy On My Eyes,6BUPtXbb2tspYnkVdg5Ef7,
51,Shirt,SZA,2023,1,4lNrQgt9tZRuwJdIgl6JSR,86,SOS,07w0rG5TETcyihsEIZR3qG,https://p.scdn.co/mp3-preview/36cfe8fbfb78aa38ca3b222c4b9fc88cda992841?cid=6a78982078cb477d900388b0470ad9ad
52,Paint The Town Red,Doja Cat,2023,1,2IGMVunIBsBLtEQyoI1Mu7,88,Scarlet,6DmPNcfpkXBVRJsEIJY9tl,https://p.scdn.co/mp3-preview/1d4dc1cd67ba78afec8cfb3e5258a9ab9b707dd8?cid=6a78982078cb477d900388b0470ad9ad
53,Made You Look,Meghan Trainor,2023,1,0QHEIqNKsMoOY5urbzN48u,85,Takin' It Back,4LVa9bljQRvLYpWr8qyaXs,https://p.scdn.co/mp3-preview/f0eb89945aa820c0f30b5e97f8e2cab42d9f0a99?cid=6a78982078cb477d900388b0470ad9ad
54,Wait In The Truck,HARDY Featuring Lainey Wilson,2023,1,49GYvCcvMQq1SY3f7Y347h,69,the mockingbird & THE CROW,6Oynwy3OABCiAqN9w9UqBN,https://p.scdn.co/mp3-preview/3470e502abbd5650f2ac0a65975126bbeaf342a6?cid=cfe923b2d660439caf2b557b21f31221
55,All I Want For Christmas Is You,Mariah Carey,2023,1,0bYg9bo50gSsH3LtXe2SQn,70,Merry Christmas,61ulfFSmmxMhc2wCdmdMkN,https://p.scdn.co/mp3-preview/6b1557cd25d543940a3decd85a7bf2bc136c51f8?cid=6a78982078cb477d900388b0470ad9ad
56,Everything I Love,Morgan Wallen,2023,1,0cv6mTbrqr8vxGC31NjKtM,65,3 Songs At A Time Sampler,4N7bPFJ4g18KAzwtjW1mg8,
57,Chemical,Post Malone,2023,1,5w40ZYhbBMAlHYNDaVJIUu,83,Chemical,7qcSUc5Af63mhfTF60KTEA,
58,Heart Like A Truck,Lainey Wilson,2023,1,5DIBVDJOHh7djepAjKHWCO,75,Bell Bottom Country,06q6BDUpP6OS8Xnx3YC2M0,https://p.scdn.co/mp3-preview/a4d21c6290140a3a53b051bc9bd972db2dde12b4?cid=6a78982078cb477d900388b0470ad9ad
59,"Going, Going, Gone",Luke Combs,2023,1,67AdiJcurlf6gocGobfaXs,77,Growin' Up,1m9DVgV0kEBiVZ4ElhJEte,https://p.scdn.co/mp3-preview/7c0ae073e9b5b5c17d8b3b2b25620ec396c0d459?cid=6a78982078cb477d900388b0470ad9ad
60,Rockin' Around The Christmas Tree,Brenda Lee,2023,1,2EjXfH91m7f8HiJN1yQg97,64,Merry Christmas From Brenda Lee,34wa3zf2prXFMk47t9zHFG,
61,Dancin' In The Country,Tyler Hubbard,2023,1,6Z1bV93BP95h4YjIavrQPf,74,Tyler Hubbard,2S3Q7phoa4bZEijkTRYaLu,
62,Daylight,David Kushner,2023,1,1odExI7RdWc4BT515LTAwj,91,Daylight,6NcI39WPu4kY6Tul11nhSv,
63,Lift Me Up,Rihanna,2023,1,4TsmezEQVSZNNPv5RJ65Ov,73,Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),3Zzv75PyROH6AMeXN1Yr1h,
64,Eyes Closed,Ed Sheeran,2023,1,50nfwKoDiSYg8zOCREWAm5,80,- (Deluxe),2WFFcvzM0CgLaSq4MSkyZk,https://p.scdn.co/mp3-preview/7cd2576f2d27799fe8c515c4e0fc880870a5cc88?cid=6a78982078cb477d900388b0470ad9ad
65,TQG,Karol G x Shakira,2023,1,0DWdj2oZMBFSzRsi2Cvfzf,86,MAÑANA SERÁ BONITO,4kS7bSuU0Jm9LYMosFU2x5,
66,Try That In A Small Town,Jason Aldean,2023,1,7b0y3Kc5f6ToRILqD0mLms,71,Highway Desperado,2SCppOPkT7XTKBJV2XIQUw,https://p.scdn.co/mp3-preview/808c6895642b3e6b1ec522a4b9823528145fe29e?cid=6a78982078cb477d900388b0470ad9ad
67,Tennessee Orange,Megan Moroney,2023,1,6LaW2p9BxzbSGefvoW8Y4T,77,Lucky,5DFed53ADZwnPOYuqoZJHK,https://p.scdn.co/mp3-preview/ca7195c94078dd2bf40b80acdffa3bb38b7ae378?cid=6a78982078cb477d900388b0470ad9ad
68,Jingle Bell Rock,Bobby Helms,2023,1,7vQbuQcyTflfCIOu3Uzzya,50,Presenting Bobby Helms,6rxEZkfRTatrDUm4MCyJqm,https://p.scdn.co/mp3-preview/4eca46a4b9ae37fe22543bcaa277e4b38f7ce336?cid=6a78982078cb477d900388b0470ad9ad
69,Princess Diana,Ice Spice & Nicki Minaj,2023,1,0ZxhtATQ0a6EvQNZ0z6NKV,76,Princess Diana (with Nicki Minaj),2Q7WBQ794rA9ISPLfqdKjK,
70,Tomorrow 2,GloRilla & Cardi B,2023,1,5Y2QnajGC68sn1AWjdX3r3,71,"Anyways, Life’s Great…",1kLWQJYzHP0kX6peGevMkC,
71,A Holly Jolly Christmas,Burl Ives,2023,1,77khP2fIVhSW23NwxrRluh,56,Have A Holly Jolly Christmas,6MvKUOSuPdfH0WLeQjR3eR,
72,Where She Goes,Bad Bunny,2023,1,7ro0hRteUMfnOioTFI5TG1,2,Spanish Hits 2023 - Party Tyme (Spanish Vocal Versions),0MZri5JqxanazJX2SEbyP8,
73,Bebe Dame,Fuerza Regida X Grupo Frontera,2023,1,0IKeDy5bT9G0bA7ZixRT4A,0,Spanish Hits 2023 - Party Tyme (Spanish Backing Versions),5iMh8Xs1u9nXgDR8VFqtr3,
74,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,2023,1,58pTPJPBjw1xL9OcLcQczU,92,Zach Bryan,6PbnGueEO6LGodPfvNldYf,https://p.scdn.co/mp3-preview/22b240f7ef2eff38bd12fb0c94dfea5e1d70e20a?cid=6a78982078cb477d900388b0470ad9ad
75,I Like You (A Happier Song),Post Malone Featuring Doja Cat,2023,1,0O6u0VJ46W86TxN9wgyqDj,82,Twelve Carat Toothache,3HHNR44YbP7XogMVwzbodx,
76,What It Is (Block Boy),Doechii Featuring Kodak Black,2023,1,1O8zCu3dLLPxkbGfIsbRgE,70,What It Is (Block Boy) (with Kodak Black),1O9xrX782LqLx4Z60528Ih,
77,Nobody Gets Me,SZA,2023,1,5Y35SjAfXjjG0sFQ3KOxmm,86,SOS,07w0rG5TETcyihsEIZR3qG,https://p.scdn.co/mp3-preview/36cfe8fbfb78aa38ca3b222c4b9fc88cda992841?cid=6a78982078cb477d900388b0470ad9ad
78,Rich Men North Of Richmond,Oliver Anthony Music,2023,1,78Du4CMFgnhdlG33gblkiP,82,Rich Men North of Richmond,02X1cQOUcwYPxgFfqHeitI,https://p.scdn.co/mp3-preview/afacdcf7e5b3560d5dcd5596e0e4caae9b0a7fc9?cid=6a78982078cb477d900388b0470ad9ad
79,Super Freaky Girl,Nicki Minaj,2023,1,4C6Uex2ILwJi9sZXRdmqXp,71,Queen Radio: Volume 1,1ia27ME4iQkoIyUHBnJqX6,
80,Dial Drunk,Noah Kahan With Post Malone,2023,1,22VHOlVYBqytsrAqV8yXBK,85,Dial Drunk (with Post Malone),4XahqkOmEsKLKEhBpX8DAe,
81,What Was I Made For?,Billie Eilish,2023,1,6wf7Yu7cxBSPrRlWeSeK0Q,92,"What Was I Made For? [From The Motion Picture ""Barbie""]",3AafSrFIbJPH6BJHiJm1Cd,
82,Seven,Jung Kook Featuring Latto,2023,1,6ZUdN0SmTwV7orWD14Emwl,87,GOLDEN,5pSk3c3wVwnb2arb6ohCPU,https://p.scdn.co/mp3-preview/c6f315711a77fba52139f54587afa7e7d16a1232?cid=6a78982078cb477d900388b0470ad9ad
83,Wait For U,Future Featuring Drake & Tems,2023,1,59nOXPmaKlBfGMDeOVGrIK,82,I NEVER LIKED YOU,6tE9Dnp2zInFij4jKssysL,https://p.scdn.co/mp3-preview/38e12dbcba624463f1a360afd5dcceaf281b1ea5?cid=6a78982078cb477d900388b0470ad9ad
84,Last Christmas,Wham!,2023,1,77nF1t4qesuOJRd8lbIzNX,71,LAST CHRISTMAS,6egzU9NKfora01qaNbvwfZ,https://p.scdn.co/mp3-preview/5c6b42e86dba5ec9e8346a345b3a8822b2396d3f?cid=6a78982078cb477d900388b0470ad9ad
85,Handle On You,Parker McCollum,2023,1,6Qpfsw8OS5HW5XxgmXYLWS,70,Never Enough,4i3ay5RKpdmJok8zazCdlf,
86,Por Las Noches,Peso Pluma,2023,1,6YWME4xCa5Lm6X1exVMQIC,78,Por Las Noches,2Pksd4k88XH1QENsu2vqeZ,https://p.scdn.co/mp3-preview/3f01d9dcd2fb87af60739642f0e8b5c3f9fb0fc1?cid=cfe923b2d660439caf2b557b21f31221
87,Memory Lane,Old Dominion,2023,1,5f69wzvle0b9ColR7wuvEK,73,Memory Lane,3PUA3xAHTsDAp11oAb33Mv,https://p.scdn.co/mp3-preview/f080bb4fa88f65e222439820a43e50c8ed92fa72?cid=6a78982078cb477d900388b0470ad9ad
88,Area Codes,Kaliii,2023,1,7sliFe6W30tPBPh6dvZsIH,77,Area Codes,6uk3hBYbrMsSzufADPjv9K,https://p.scdn.co/mp3-preview/d1beed2734f948ec9c33164d3aa818e04f4afd30?cid=6a78982078cb477d900388b0470ad9ad
89,Bury Me In Georgia,Kane Brown,2023,1,4EKH0ajMHXTkq4ztWuztVH,63,Bury Me in Georgia,5KiNzxNpSxplw7RxB9SSEo,https://p.scdn.co/mp3-preview/1bcf9664ae7b1fd6455442d709279972bd4c5806?cid=6a78982078cb477d900388b0470ad9ad
90,PRC,Peso Pluma X Natanael Cano,2023,1,2mpoNBkngUEwnaKoBhZ0vl,78,PRC,2OXBosbXT7Qs3J6vBd6IkI,https://p.scdn.co/mp3-preview/04ebbfd99947c52464a0c31b25ccc02fcef69ae0?cid=6a78982078cb477d900388b0470ad9ad
91,What My World Spins Around,Jordan Davis,2023,1,6HBRLaSQ7NB8MNlaqzYen1,77,Bluebird Days,6izHNYgyKzGdRpYwtYFaaG,
92,Ain't That Some,Morgan Wallen,2023,1,7K3BhSpAxZBznislvUMVtn,80,One Thing At A Time,6i7mF7whyRJuLJ4ogbH2wh,
93,Wild As Her,Corey Kent,2023,1,4RG7P0CXQ4pe0OeCAHjX5L,73,Blacktop,6nIkyQ0HO6MDucznnn8DXi,https://p.scdn.co/mp3-preview/9db2d78adf0f9602fd2ffe580b79ae6aa3ff8ad5?cid=6a78982078cb477d900388b0470ad9ad
94,Peaches & Eggplants,Young Nudy Featuring 21 Savage,2023,1,1ObHcON82RovghoAuS7DRq,70,Gumbo,1UbeEAPS49eulB659XSU9g,https://p.scdn.co/mp3-preview/c8c99ebe8a3e76ec03247eed3e9eea7de6ba8f33?cid=6a78982078cb477d900388b0470ad9ad
95,I Wrote The Book,Morgan Wallen,2023,1,7K3BhSpAxZBznislvUMVtn,62,3 Songs At A Time Sampler,7fOmdhRrRohTzToL617xkk,
96,"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,2023,1,4nrPB8O7Y7wsOCJdgXkthe,64,Las Mujeres Ya No Lloran,3fonA82Hl7huJiQCwKkzGA,https://p.scdn.co/mp3-preview/3ba573cb752298abe9b6f538177ea80863ac4b72?cid=6a78982078cb477d900388b0470ad9ad
97,Meltdown,Travis Scott Featuring Drake,2023,1,0O9WkgPDfZ7A9DMDocF6ur,83,UTOPIA,18NOKLkZETa4sWwLMIm0UZ,https://p.scdn.co/mp3-preview/7c7e0e4419d101bcf73764f245639d7bc83b662a?cid=6a78982078cb477d900388b0470ad9ad
98,Put It On Da Floor Again,Latto Featuring Cardi B,2023,1,6c6WmIHcHlhccEwSFBhzNa,69,Put It On Da Floor Again (feat. Cardi B),4A43tzEN3jILvseI1HeXGG,https://p.scdn.co/mp3-preview/3cd934af8742a4c035cbeb9586947ea0bd229842?cid=6a78982078cb477d900388b0470ad9ad
99,Bloody Mary,Lady Gaga,2023,1,53jnnqFSRGMDB9ADrNriCA,77,Born This Way (International Special Edition Version),6LY3AerY6KNGOPsNPL63Kk,
100,Watermelon Moonshine,Lainey Wilson,2023,1,3sYBFUXTv0STUoUINx9Qe8,77,Bell Bottom Country,06q6BDUpP6OS8Xnx3YC2M0,https://p.scdn.co/mp3-preview/616455e085625d5662da9242fef54eb52a3044f1?cid=6a78982078cb477d900388b0470ad9ad
