album,album_id,artist,year,billboard_ranking,popular_or_not,song,track_id,spotify_popularity,audio_link,bpm,loudness,key,key_scale,key_strength,chords_changes_rate,chords_key,chords_number_rate
Barbie The Album,0BaIaHcyBXuOWeM4Aas4EW,Nicki Minaj & Ice Spice With Aqua,2023,0,0,butterflies,3r6wuvcMPjtIWlYdkpdMPM,50,https://p.scdn.co/mp3-preview/c78033ee32881eba7ff5606c5103248dcf178110?cid=6a78982078cb477d900388b0470ad9ad,95.94420623779297,-8.918051719665527,Ab,minor,0.6269994974136353,0.10729613900184631,G,0.0200286116451025
My 21st Century Blues,3U8n8LzBx2o9gYXvvNq4uH,RAYE Featuring 070 Shake,2023,0,0,Fin.,7j7MArN6cotJVlbn5HOQ1t,52,https://p.scdn.co/mp3-preview/db386ed1ce459a5bf1c83fab574269b91195d259?cid=6a78982078cb477d900388b0470ad9ad,100.491943359375,-13.181480407714844,Ab,major,0.8535410165786743,0.05436337739229202,G,0.01287553645670414
SOS,07w0rG5TETcyihsEIZR3qG,SZA,2023,0,0,Too Late,4rAg5bbrdZX00mXXhLvYXj,66,https://p.scdn.co/mp3-preview/cfd6bdd6babe9cead7864fc74f451307b38423e4?cid=6a78982078cb477d900388b0470ad9ad,88.36068725585938,-9.983154296875,F,major,0.8998857736587524,0.061516452580690384,C#,0.01001430582255125
Scarlet,6DmPNcfpkXBVRJsEIJY9tl,Doja Cat,2023,0,0,Balut,3yeVb5di44wD6CZ2sJromR,54,https://p.scdn.co/mp3-preview/9b67e66b1d05444aaea1c58823c0d83ed82f38b4?cid=6a78982078cb477d900388b0470ad9ad,68.21247863769531,-8.278877258300781,Bb,major,0.643407940864563,0.037195995450019836,D,0.01001430582255125
Takin' It Back,4LVa9bljQRvLYpWr8qyaXs,Meghan Trainor,2023,0,0,Final Breath,22HxXTUuXM2jHtHMcu4V7o,34,https://p.scdn.co/mp3-preview/71dbffd9b14b787a05680b716312826d31671983?cid=6a78982078cb477d900388b0470ad9ad,132.23277282714844,-7.904996871948242,Bb,major,0.8802396059036255,0.04577968642115593,Bb,0.011444921605288982
the mockingbird & THE CROW,6Oynwy3OABCiAqN9w9UqBN,HARDY Featuring Lainey Wilson,2023,0,0,happy,3tSmTelJM5NTGjPC1lTCDo,47,https://p.scdn.co/mp3-preview/dbce3bc1f6559bd6c381213ac9f800dd732c373e?cid=6a78982078cb477d900388b0470ad9ad,95.78239440917969,-8.925628662109375,F,major,0.8234280347824097,0.014306151308119297,E,0.004291845485568047
Merry Christmas,61ulfFSmmxMhc2wCdmdMkN,Mariah Carey,2023,0,0,Jesus Born on This Day,6AoXseJVabZFmKEYjQCXPS,31,https://p.scdn.co/mp3-preview/404180b32a0f2259065f9a0fd2c2af13605fdb91?cid=6a78982078cb477d900388b0470ad9ad,73.38434600830078,-13.551850318908691,F,minor,0.7591040134429932,0.05865522101521492,C,0.014306151308119297
Bell Bottom Country,06q6BDUpP6OS8Xnx3YC2M0,Lainey Wilson,2023,0,0,This One's Gonna Cost Me,7C3v6v5UV1qdFYcNzvJTyg,45,https://p.scdn.co/mp3-preview/7533863e1c9fb727983fb7f7f83493e7c2849972?cid=6a78982078cb477d900388b0470ad9ad,137.05467224121094,-6.888674736022949,C,major,0.8128587007522583,0.07439199090003967,F#,0.014306151308119297
Growin' Up,1m9DVgV0kEBiVZ4ElhJEte,Luke Combs,2023,0,0,Better Back When,1jdnhRcv4WN78ZB9RigUaR,52,https://p.scdn.co/mp3-preview/25bc256fb53632a656ff286237670477903a531f?cid=6a78982078cb477d900388b0470ad9ad,132.53640747070312,-6.666910171508789,G,major,0.8476066589355469,0.05150214582681656,F#,0.011444921605288982
- (Deluxe),2WFFcvzM0CgLaSq4MSkyZk,Ed Sheeran,2023,0,0,Wildflowers - Bonus Track,75To9uF11PYY0vAkXnDWvW,52,https://p.scdn.co/mp3-preview/3ff6aac5591dfed14326a4245a2a00efc28823c4?cid=6a78982078cb477d900388b0470ad9ad,122.27713012695312,-9.005906105041504,Bb,minor,0.8221634030342102,0.028612302616238594,Bb,0.0071530756540596485
Highway Desperado,2SCppOPkT7XTKBJV2XIQUw,Jason Aldean,2023,0,0,Changing Bars,2lSUvoPUhJPbzgR6taJyRQ,43,https://p.scdn.co/mp3-preview/51c532d853045d0fb5d61822fb08d5d9087205fc?cid=6a78982078cb477d900388b0470ad9ad,134.9304962158203,-5.879715442657471,F,major,0.7634617686271667,0.04721030220389366,E,0.011444921605288982
Lucky,5DFed53ADZwnPOYuqoZJHK,Megan Moroney,2023,0,0,God Plays a Gibson,6Ug6GZZzefggGWig5j2vxM,46,https://p.scdn.co/mp3-preview/33fa07d7f3244a9e8f9986ba46786a4dfcd597ab?cid=6a78982078cb477d900388b0470ad9ad,100.35457611083984,-8.81464958190918,Bb,major,0.8758315443992615,0.042918454855680466,A,0.01001430582255125
Presenting Bobby Helms,6rxEZkfRTatrDUm4MCyJqm,Bobby Helms,2023,0,0,(Got A) Heartsick Feeling,5Rxpi2GBP0y20aAzqv58cB,0,https://p.scdn.co/mp3-preview/a83ddcaa3b568dd98955f39d2ed02d87f82fc8dd?cid=6a78982078cb477d900388b0470ad9ad,86.73225402832031,-13.058870315551758,F,major,0.7045882940292358,0.048640914261341095,Bb,0.008583690971136093
Zach Bryan,6PbnGueEO6LGodPfvNldYf,Zach Bryan Featuring Kacey Musgraves,2023,0,0,Fear and Friday's (Poem),44IXD2J5yyr7PpOZzz2cmQ,65,https://p.scdn.co/mp3-preview/c1f004eeb25b0fa8c2a7fc2d24a6de7bb788a1c8?cid=6a78982078cb477d900388b0470ad9ad,98.00038146972656,-13.267049789428711,C,minor,0.7155258655548096,0.0844062939286232,A,0.017167381942272186
SOS,07w0rG5TETcyihsEIZR3qG,SZA,2023,0,0,Too Late,4rAg5bbrdZX00mXXhLvYXj,66,https://p.scdn.co/mp3-preview/cfd6bdd6babe9cead7864fc74f451307b38423e4?cid=6a78982078cb477d900388b0470ad9ad,88.36068725585938,-9.983154296875,F,major,0.8998857736587524,0.061516452580690384,C#,0.01001430582255125
GOLDEN,5pSk3c3wVwnb2arb6ohCPU,Jung Kook Featuring Latto,2023,0,0,Shot Glass of Tears,7AbqgE05nFl9qY4FRUiq2p,76,https://p.scdn.co/mp3-preview/8ca2d835eb2edcbbf0924eb086a5c0cbeb35b8f9?cid=6a78982078cb477d900388b0470ad9ad,110.78411865234375,-5.942302703857422,F,minor,0.5559414029121399,0.05436337739229202,E,0.0071530756540596485
I NEVER LIKED YOU,6tE9Dnp2zInFij4jKssysL,Future Featuring Drake & Tems,2023,0,0,THE WAY THINGS GOING,7HFyGCuGYFmHjxnjujBxM1,46,https://p.scdn.co/mp3-preview/60a87d8fa5dea07ed5a500c4468064ae2073c99f?cid=6a78982078cb477d900388b0470ad9ad,107.68461608886719,-8.632527351379395,F,minor,0.7454990744590759,0.05436337739229202,A,0.0071530756540596485
LAST CHRISTMAS,6egzU9NKfora01qaNbvwfZ,Wham!,2023,0,0,Everything She Wants,4GSIXi1NcsvfWQtZXyPYfy,34,https://p.scdn.co/mp3-preview/77885e42a9896df998d26e71b5ae2f185d5217e2?cid=6a78982078cb477d900388b0470ad9ad,106.8756332397461,-17.608760833740234,F,minor,0.9640828371047974,0.06437768042087555,F,0.015736766159534454
Memory Lane,3PUA3xAHTsDAp11oAb33Mv,Old Dominion,2023,0,0,Sleep Without Drinking,5RQuCvKN72HotajK3XU9sg,35,https://p.scdn.co/mp3-preview/28d2d71fd0d14a4a429c99d225bb187cadb21119?cid=6a78982078cb477d900388b0470ad9ad,127.56416320800781,-8.338083267211914,F#,major,0.8624062538146973,0.040057223290205,F,0.0071530756540596485
Bury Me in Georgia,5KiNzxNpSxplw7RxB9SSEo,Kane Brown,2023,0,0,Bury Me in Georgia - Single Edit,2mltIbKkhQqyh8gCzaqxqA,63,https://p.scdn.co/mp3-preview/1bcf9664ae7b1fd6455442d709279972bd4c5806?cid=6a78982078cb477d900388b0470ad9ad,73.77096557617188,-8.080531120300293,F#,minor,0.41641664505004883,0.07725322246551514,F,0.015736766159534454
Blacktop,6nIkyQ0HO6MDucznnn8DXi,Corey Kent,2023,0,0,Call It a Night,3e5bcZi6px0uXjOot2fGl5,29,https://p.scdn.co/mp3-preview/f7161e9b7b108a9ac68abe14a05768d43acb467d?cid=6a78982078cb477d900388b0470ad9ad,115.46199035644531,-7.7838053703308105,B,major,0.7955246567726135,0.018597997725009918,Bb,0.01001430582255125
Gumbo,1UbeEAPS49eulB659XSU9g,Young Nudy Featuring 21 Savage,2023,0,0,Hot Grease,3guv5zn5hDfpPpKfcmCTxS,39,https://p.scdn.co/mp3-preview/b245449843dff7eae57ba37276a349d451bfe141?cid=6a78982078cb477d900388b0470ad9ad,90.91341400146484,-9.098093032836914,F,minor,0.7118082642555237,0.04721030220389366,A,0.005722460802644491
Las Mujeres Ya No Lloran,3fonA82Hl7huJiQCwKkzGA,Bizarrap & Shakira,2023,0,0,"Bzrp Music Sessions, Vol. 53 - Tiësto Remix",22Q0eVNpSUIWG0prN6cVmI,63,https://p.scdn.co/mp3-preview/3ba573cb752298abe9b6f538177ea80863ac4b72?cid=6a78982078cb477d900388b0470ad9ad,116.3161849975586,-9.03990364074707,C#,minor,0.5517494678497314,0.0443490706384182,C,0.01001430582255125
UTOPIA,18NOKLkZETa4sWwLMIm0UZ,Travis Scott Featuring Drake,2023,0,0,PARASAIL (feat. Yung Lean & Dave Chappelle),2Q0aElTZQtEUsoiaQfizu6,68,https://p.scdn.co/mp3-preview/82f3c0d5844693c4c9b691112d698d5112124661?cid=6a78982078cb477d900388b0470ad9ad,77.7526626586914,-7.685052871704102,B,major,0.7489748001098633,0.05293276160955429,Eb,0.01287553645670414
Put It On Da Floor Again (feat. Cardi B),4A43tzEN3jILvseI1HeXGG,Latto Featuring Cardi B,2023,0,0,Put It On Da Floor Again - Instrumental,3H2tSGsIkHnhT2tuHiHtAF,25,https://p.scdn.co/mp3-preview/7844fd6714a5ee13eb33e478b33d90fea0cb43dd?cid=6a78982078cb477d900388b0470ad9ad,102.59637451171875,-10.775125503540039,C,minor,0.8383710384368896,0.06866952776908875,B,0.01001430582255125
Bell Bottom Country,06q6BDUpP6OS8Xnx3YC2M0,Lainey Wilson,2023,0,0,This One's Gonna Cost Me,7C3v6v5UV1qdFYcNzvJTyg,45,https://p.scdn.co/mp3-preview/7533863e1c9fb727983fb7f7f83493e7c2849972?cid=6a78982078cb477d900388b0470ad9ad,137.05467224121094,-6.888674736022949,C,major,0.8128587007522583,0.07439199090003967,F#,0.014306151308119297
